index,add,coord,id,side,state,cnty,key1,block
2136,"600 SAINT ANNS AVE, BRONX, NY, 10455","-73.91189,40.81615",80300832,R,36,5,7500,1001
2137,"416 WILLIS AVE, BRONX, NY, 10454","-73.91988,40.813206",80300378,R,36,5,4300,3001
2138,"452 COLLEGE AVE, BRONX, NY, 10451","-73.92171,40.81548",80300364,R,36,5,5100,3001
2139,"1180 TINTON AVE, BRONX, NY, 10456","-73.900665,40.828568",642559055,R,36,5,13500,3001
2140,"3458 3RD AVE, BRONX, NY, 10456","-73.90651,40.82958",80301930,R,36,5,14500,1001
2141,"3956 CARPENTER AVE, BRONX, NY, 10466","-73.86354,40.88834",80297029,R,36,5,39400,2000
2142,"3120 CORLEAR AVE, BRONX, NY, 10463","-73.90735,40.880684",80296549,R,36,5,28900,3002
2143,"1000 TELLER AVE, BRONX, NY, 10456","-73.91469,40.827625",80300495,R,36,5,17300,1000
2144,"1000 TELLER AVE, BRONX, NY, 10456","-73.91469,40.827625",80300495,R,36,5,17300,1000
2145,"700 E 179TH ST, BRONX, NY, 10457","-73.889885,40.84675",80301540,R,36,5,37100,2003
2146,"850 BAYCHESTER AVE, BRONX, NY, 10475","-73.83396,40.87507",609887338,R,36,5,46201,8005
2147,"1300 BOYNTON AVE, BRONX, NY, 10472","-73.87888,40.831444",80303048,R,36,5,5600,1001
2148,"2246 JEROME AVE, BRONX, NY, 10453","-73.90421,40.857834",80298651,R,36,5,23900,2001
2149,"685 E 182ND ST, BRONX, NY, 10457","-73.887596,40.850964",80301528,L,36,5,39100,2002
2150,"333 E 151ST ST, BRONX, NY, 10451","-73.91954,40.81814",80300358,L,36,5,6700,2002
2151,"1164 GARRISON AVE, BRONX, NY, 10474","-73.88833,40.82035",80302443,R,36,5,11502,1013
2152,"3956 CARPENTER AVE, BRONX, NY, 10466","-73.86354,40.88834",80297029,R,36,5,39400,2000
2153,"222 ALEXANDER AVE, BRONX, NY, 10454","-73.92559,40.809433",80308863,R,36,5,2300,2000
2154,"860 FOREST AVE, BRONX, NY, 10456","-73.90514,40.820744",80302008,R,36,5,7700,1002
2155,"423 E 138TH ST, BRONX, NY, 10454","-73.92203,40.80875",80300418,L,36,5,3900,5001
2156,"650 GRAND CONCOURSE, BRONX, NY, 10451","-73.92522,40.82178",80300149,R,36,5,5902,2001
2157,"1090 CLOSE AVE, BRONX, NY, 10472","-73.882195,40.82522",80302523,R,36,5,5200,1005
2158,"250 E 156TH ST, BRONX, NY, 10451","-73.922325,40.82338",609079313,R,36,5,6100,3000
2159,"470 JACKSON AVE, BRONX, NY, 10455","-73.909805,40.811172",80300903,R,36,5,3500,1002
2160,"2246 JEROME AVE, BRONX, NY, 10453","-73.90421,40.857834",80298651,R,36,5,23900,2001
2161,"2246 JEROME AVE, BRONX, NY, 10453","-73.90421,40.857834",80298651,R,36,5,23900,2001
