_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
85974,36005030100,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,194,0.023528377,0.060099412,0.004364836,0.009504058,High,Very High,Moderate,Moderate,66,89,45,57,High,Very High,Moderate,Moderate,62,84,54,59,Moderate,High,Moderate,Moderate,53,79,51,55
85975,36005030100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,105,0.034976486,0.043992285,0.12073997,0.022598643,High,High,High,High,71,75,70,72,High,Moderate,High,High,67,60,73,72,Moderate,Moderate,High,High,58,57,70,66
85976,36005030200,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1922,-0.026314698,0.032458279,-0.21973358,-0.025026355,Low,High,Very Low,Very Low,39,63,13,20,Low,Moderate,Low,Low,36,43,24,26,Low,Moderate,Low,Low,33,41,22,25
85977,36005030200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1557,-0.042529359,0.055757623,-0.14349493,-0.015467735,Low,Very High,Low,Low,29,85,21,28,Low,High,Low,Low,29,78,32,34,Low,High,Low,Low,28,74,31,33
85978,36005030701,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1044,0.045352142,0.034297422,0.02935227,0.012079157,High,High,Moderate,Moderate,75,65,50,60,High,Moderate,Moderate,High,71,45,58,61,High,Moderate,Moderate,Moderate,62,44,55,56
85979,36005030701,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1347,0.056197889,0.042420331,0.027777862,0.01395932,High,High,Moderate,High,79,73,50,62,High,Moderate,Moderate,High,76,57,58,63,High,Moderate,Moderate,Moderate,67,54,55,58
85980,36005030900,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,614,0.035422489,0.067396834,0.14664492,0.028152943,High,Very High,High,High,72,93,75,78,High,Very High,High,High,67,90,79,77,Moderate,Very High,High,High,58,87,76,72
85981,36005030900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,594,0.049697399,0.069548443,0.094310224,0.023869755,High,Very High,High,High,77,95,64,73,High,Very High,High,High,73,92,69,73,High,Very High,High,High,64,89,66,67
85982,36005031000,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,851,-0.02000433,0.033949383,0.11260233,0.014504595,Moderate,High,High,High,43,65,68,62,Low,Moderate,High,High,39,45,72,64,Low,Moderate,High,Moderate,36,43,69,59
85983,36005031000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,811,0.044022601,0.054799985,-0.017698515,0.008638359,High,Very High,Moderate,Moderate,75,85,41,55,High,High,Moderate,Moderate,70,76,50,58,High,High,Moderate,Moderate,61,72,49,54
